State,County,Year,NO2_Units,NO2_Mean,NO2_1st_Max_Value,NO2_1st_Max_Hour,NO2_AQI,O3_Units,O3_Mean,O3_1st_Max_Value,O3_1st_Max_Hour,O3_AQI,SO2_Units,SO2_Mean,SO2_1st_Max_Value,SO2_1st_Max_Hour,SO2_AQI,CO_Units,CO_Mean,CO_1st_Max_Value,CO_1st_Max_Hour,CO_AQI,YPLL Rate,% Fair/Poor,Physically Unhealthy Days,TotalPop,TotalMalePop,TotalFemalePop
Colorado,Adams,2015,Parts per billion,17.62,36.45,10,34.43,Parts per million,0.02,0.04,10,41.54,Parts per billion,1.07,3.05,8,2.56,Parts per million,0.43,0.72,8,3.56,6235,17,3.5,490768,243491,247277
Colorado,Adams,2016,Parts per billion,20.5,42.08,11,39.8,Parts per million,0.02,0.04,10,32.67,Parts per billion,0.73,2.16,8,1.77,Parts per million,0.48,0.86,8,4.1,6481,16,3.5,498249,247084,251165
District Of Columbia,District of Columbia,2010,Parts per billion,17.64,32.79,11,30.99,Parts per million,0.03,0.04,10,39.27,Parts per billion,3.36,5.24,9,4.09,Parts per million,0.88,1.12,8,6,0,0,0,0,0,0
District Of Columbia,District of Columbia,2011,Parts per billion,15.93,29.82,11,28.14,Parts per million,0.02,0.04,10,32.62,Parts per billion,3.6,4.72,7,3.57,Parts per million,0.67,0.92,8,4.84,0,0,0,0,0,0
District Of Columbia,District of Columbia,2012,Parts per billion,16.27,29.79,12,27.96,Parts per million,0.03,0.04,10,34.41,Parts per billion,1.68,2.79,9,2.07,Parts per million,0.59,0.84,8,4.33,0,0,0,0,0,0
District Of Columbia,District of Columbia,2013,Parts per billion,11.5,23.84,11,22.28,Parts per million,0.03,0.04,10,33.17,Parts per billion,0.99,1.91,10,1.12,Parts per million,0.34,0.5,7,2.53,0,0,0,0,0,0
District Of Columbia,District of Columbia,2014,Parts per billion,12.3,25.25,11,23.44,Parts per million,0.02,0.04,10,33.62,Parts per billion,1.12,2.37,10,1.55,Parts per million,0.36,0.54,9,2.71,0,0,0,0,0,0
District Of Columbia,District of Columbia,2015,Parts per billion,13.23,26.27,11,24.35,Parts per million,0.03,0.04,10,36.98,Parts per billion,1.27,2.55,10,1.72,Parts per million,0.27,0.43,9,2.14,0,0,0,0,0,0
District Of Columbia,District of Columbia,2016,Parts per billion,12.46,27.74,11,25.69,Parts per million,0.03,0.04,10,38.91,Parts per billion,0.97,1.9,10,1.1,Parts per million,0.26,0.39,9,1.79,0,0,0,0,0,0
Florida,Orange,2010,Parts per billion,5.67,14.24,10,13.44,Parts per million,0.03,0.04,9,35.47,Parts per billion,0.15,0.62,5,0.51,Parts per million,0.39,0.5,5,2.67,6970,16,4,180715,89897,90818
Florida,Orange,2011,Parts per billion,5.36,13.5,9,12.72,Parts per million,0.03,0.04,9,35.95,Parts per billion,0.1,0.48,4,0.38,Parts per million,0.43,0.54,5,2.88,7262,16,4.1,183088,91001,92087
Florida,Orange,2012,Parts per billion,5.41,13.61,9,12.81,Parts per million,0.03,0.04,9,33.48,Parts per billion,0.06,0.36,4,0.29,Parts per million,0.38,0.49,5,2.61,7268,16,4.1,189761,93603,96158
Florida,Orange,2013,Parts per billion,4.55,12.15,10,11.44,Parts per million,0.03,0.04,9,34.82,Parts per billion,-0.03,0.17,3,0.15,Parts per million,0.3,0.39,5,2.03,8278,16,4,192697,94839,97858
Florida,Orange,2014,Parts per billion,4.98,12.9,10,12.14,Parts per million,0.03,0.04,9,35.43,Parts per billion,0.11,0.46,4,0.37,Parts per million,0.46,0.56,5,2.99,7345,18,4.5,194633,95902,98731
Florida,Orange,2015,Parts per billion,4.11,10.18,10,9.62,Parts per million,0.03,0.04,9,34.08,Parts per billion,0.04,0.28,3,0.23,Parts per million,0.51,0.6,5,3.23,6714,18,4.5,197839,97395,100444
Florida,Orange,2016,Parts per billion,5.49,14.65,11,13.86,Parts per million,0.03,0.04,10,36.87,Parts per billion,0.4,0.64,4,0.41,Parts per million,0.57,0.69,7,3.7,6829,14,3.5,200260,98669,101591
Illinois,Cook,2010,Parts per billion,14.4,29.22,11,27.6,Parts per million,0.03,0.04,10,35.25,Parts per billion,2.52,5.44,10,4.29,Parts per million,0.29,0.46,8,2.26,6218,30,3.5,5096,2561,2535
Illinois,Cook,2011,Parts per billion,14.46,28.91,11,27.3,Parts per million,0.02,0.04,10,32.96,Parts per billion,3.29,6.46,10,5.04,Parts per million,0.3,0.47,8,2.36,6554,30,3.5,5048,2513,2535
Illinois,Cook,2012,Parts per billion,11.84,24.21,10,22.81,Parts per million,0.03,0.04,10,40.22,Parts per billion,1.07,3.01,9,2.3,Parts per million,0.26,0.38,7,1.88,7169,30,3.5,4985,2476,2509
Illinois,Cook,2013,Parts per billion,10.21,20.25,11,19.15,Parts per million,0.02,0.04,10,36.04,Parts per billion,0.61,1.7,9,1.06,Parts per million,0.22,0.34,7,1.52,7070,16,3.6,5008,2500,2508
Illinois,Cook,2014,Parts per billion,9.7,20.76,10,19.55,Parts per million,0.02,0.04,10,33.99,Parts per billion,0.79,1.93,10,1.2,Parts per million,0.22,0.34,7,1.59,5110,30,3.5,4925,2455,2470
Illinois,Cook,2015,Parts per billion,8.43,18.64,10,17.15,Parts per million,0.03,0.04,10,39.14,Parts per billion,0.87,1.69,10,0.98,Parts per million,0.28,0.38,7,1.89,5872,30,3.5,4858,2414,2444
Illinois,Cook,2016,Parts per billion,12.01,22.78,11,21.01,Parts per million,0.03,0.03,9,29.49,Parts per billion,0.76,1.41,8,0.71,Parts per million,0.24,0.32,8,1.59,5597,12,3.3,4866,2426,2440
Illinois,Saint Clair,2010,Parts per billion,11.43,22.16,12,20.88,Parts per million,0.02,0.04,9,34.72,Parts per billion,1.62,5.76,10,4.95,Parts per million,0.41,0.62,8,3.35,9614,18,3.9,270342,140165,130177
Illinois,Saint Clair,2011,Parts per billion,8.93,18.99,11,17.87,Parts per million,0.02,0.04,9,33.75,Parts per billion,1.4,3.99,10,3.35,Parts per million,0.39,0.56,7,3.02,9657,18,4.1,270006,139847,130159
Illinois,Saint Clair,2012,Parts per billion,12.13,23.68,12,22.33,Parts per million,0.03,0.04,9,39.59,Parts per billion,1.18,4.14,9,3.55,Parts per million,0.36,0.54,7,2.79,9433,16,3.7,268646,139017,129629
Illinois,Saint Clair,2013,Parts per billion,11.31,23.35,12,22,Parts per million,0.02,0.04,10,34.53,Parts per billion,0.99,3.48,10,2.98,Parts per million,0.32,0.47,7,2.43,6926,18,3.3,266805,138140,128665
Illinois,Saint Clair,2014,Parts per billion,10.99,23.74,12,22.35,Parts per million,0.02,0.04,9,35.34,Parts per billion,1.08,4.06,10,3.5,Parts per million,0.34,0.51,7,2.71,8345,16,4,265922,137708,128214
Illinois,Saint Clair,2015,Parts per billion,8.35,20.51,12,18.94,Parts per million,0.02,0.04,9,34.45,Parts per billion,1.41,3.59,11,2.68,Parts per million,0.32,0.48,7,2.51,8341,16,4,264805,136887,127918
Illinois,Saint Clair,2016,Parts per billion,9.32,22.48,11,20.72,Parts per million,0.02,0.03,9,32.3,Parts per billion,1.06,2.9,11,2.12,Parts per million,0.35,0.49,6,2.62,8787,17,3.9,263102,136070,127032
Indiana,Marion,2010,Parts per billion,9.39,22.01,11,20.36,Parts per million,0.03,0.04,10,38.05,Parts per billion,2.99,6.49,11,5.01,Parts per million,0.16,0.3,6,1.48,8632,20,4.1,131619,65835,65784
Indiana,Marion,2011,Parts per billion,9.91,22.22,12,20.49,Parts per million,0.03,0.05,10,45.78,Parts per billion,1.36,7.05,8,6.12,Parts per million,0.06,0.17,5,0.63,8391,19,4,130994,65495,65499
Indiana,Marion,2012,Parts per billion,9.84,24.19,11,22.37,Parts per million,0.04,0.05,10,51.12,Parts per billion,0.84,5.46,8,4.37,Parts per million,0.4,0.55,7,2.95,8464,20,4.1,130190,65037,65153
Indiana,Marion,2013,Parts per billion,10.36,21.07,13,19.44,Parts per million,0.03,0.04,10,37.34,Parts per billion,2.18,8.1,10,6.57,Parts per million,0.27,0.41,7,2.07,9210,20,3.8,130300,65229,65071
Indiana,Marion,2014,Parts per billion,11.33,22.8,12,21.04,Parts per million,0.03,0.04,10,37.52,Parts per billion,2.48,8.31,11,6.89,Parts per million,0.23,0.39,7,1.85,8964,18,4.2,129744,64882,64862
Indiana,Marion,2015,Parts per billion,13.49,25.4,12,23.51,Parts per million,0.03,0.04,10,37.12,Parts per billion,1.26,4.63,11,3.61,Parts per million,0.25,0.44,8,2.11,9012,18,4.2,129383,64747,64636
Indiana,Marion,2016,Parts per billion,13.86,25.9,11,23.97,Parts per million,0.03,0.04,10,35.15,Parts per billion,0.39,1.21,10,0.69,Parts per million,0.24,0.42,7,1.95,8870,18,4.2,129297,64778,64519
Kansas,Wyandotte,2010,Parts per billion,13.07,27.3,11,25.74,Parts per million,0.02,0.03,10,27.41,Parts per billion,5.19,9.2,10,7.43,Parts per million,0.42,0.65,9,3.35,8458,12,3.5,7049,3464,3585
Kansas,Wyandotte,2011,Parts per billion,13.1,27.05,12,25.07,Parts per million,0.02,0.03,10,27.32,Parts per billion,3.62,7.31,12,5.7,Parts per million,0.45,0.66,9,3.43,7933,11,3,7037,3456,3581
Kansas,Wyandotte,2012,Parts per billion,12.07,26.87,12,24.91,Parts per million,0.03,0.04,10,38.28,Parts per billion,2.81,7.32,12,5.88,Parts per million,0.51,0.73,9,3.86,6644,12,3.1,6994,3417,3577
Kansas,Wyandotte,2013,Parts per billion,11.86,25.47,12,23.56,Parts per million,0.03,0.04,10,34.56,Parts per billion,2.04,6.06,11,4.85,Parts per million,0.44,0.64,9,3.28,5764,13,3.9,7025,3461,3564
Kansas,Wyandotte,2014,Parts per billion,11.03,24.79,12,22.95,Parts per million,0.03,0.04,9,33.89,Parts per billion,1.76,6.59,11,5.47,Parts per million,0.26,0.43,10,2.09,5650,9,2.6,6938,3414,3524
Kansas,Wyandotte,2015,Parts per billion,11.04,24.74,12,22.92,Parts per million,0.03,0.04,10,34.37,Parts per billion,1.54,5.33,11,4.31,Parts per million,0.29,0.48,10,2.3,7413,9,2.6,6884,3393,3491
Kansas,Wyandotte,2016,Parts per billion,11.59,26.07,12,24.17,Parts per million,0.02,0.03,9,29.54,Parts per billion,1.08,2.18,11,1.38,Parts per million,0.25,0.43,9,2.02,6161,11,2.7,6881,3385,3496
Kentucky,Jefferson,2013,Parts per billion,14.11,27.25,13,25.28,Parts per million,0.02,0.03,10,21.68,Parts per billion,1.5,4.87,12,3.87,Parts per million,0.35,0.56,9,2.87,9240,22,4.8,13393,6731,6662
Kentucky,Jefferson,2014,Parts per billion,11.44,24.06,12,22.28,Parts per million,0.02,0.03,10,29.65,Parts per billion,1.46,4.75,11,3.69,Parts per million,0.26,0.41,8,1.99,12398,34,7.4,13309,6648,6661
Kentucky,Jefferson,2015,Parts per billion,7.88,20.11,13,18.53,Parts per million,0.02,0.04,10,39.95,Parts per billion,0.55,1.81,10,1.18,Parts per million,0.27,0.45,8,2.11,13519,34,7.4,13327,6709,6618
Louisiana,East Baton Rouge,2010,Parts per billion,12.7,27.84,10,26.29,Parts per million,0.03,0.04,9,34.93,Parts per billion,1.36,4.74,9,3.89,Parts per million,0.25,0.43,7,1.99,10121,15,3.1,440559,228855,211704
Louisiana,East Baton Rouge,2011,Parts per billion,11.67,26.41,12,24.48,Parts per million,0.03,0.04,9,36,Parts per billion,1.25,4.11,10,3.26,Parts per million,0.22,0.37,7,1.69,10364,15,3.1,441173,228985,212188
Louisiana,East Baton Rouge,2012,Parts per billion,11.4,25.54,11,23.68,Parts per million,0.02,0.04,9,34.33,Parts per billion,0.82,2.44,8,1.79,Parts per million,0.22,0.37,8,1.68,10202,16,3.1,442592,229872,212720
Louisiana,East Baton Rouge,2013,Parts per billion,9.64,21.57,12,19.87,Parts per million,0.02,0.04,9,33.54,Parts per billion,0.64,2.04,8,1.49,Parts per million,0.2,0.33,7,1.51,11669,20,3.8,443840,230861,212979
Louisiana,East Baton Rouge,2014,Parts per billion,10.48,23.62,11,21.87,Parts per million,0.02,0.04,9,34.63,Parts per billion,1.25,3.32,9,2.47,Parts per million,0.27,0.41,7,1.95,9403,16,3.2,444798,231499,213299
Louisiana,East Baton Rouge,2015,Parts per billion,9.39,20.15,12,18.57,Parts per million,0.02,0.04,9,33.99,Parts per billion,1.07,2.3,9,1.53,Parts per million,0.22,0.35,7,1.62,9234,16,3.2,445078,231715,213363
Louisiana,East Baton Rouge,2016,Parts per billion,12.91,26.88,10,24.99,Parts per million,0.03,0.04,9,34.37,Parts per billion,1.11,2.26,9,1.48,Parts per million,0.23,0.36,7,1.65,9358,19,3.7,446029,232495,213534
Missouri,St. Louis City,2013,Parts per billion,12.04,23.72,11,21.88,Parts per million,0.02,0.04,9,32.08,Parts per billion,2.49,7.3,11,6.01,Parts per million,0.26,0.42,8,1.93,12632,26,6.9,374288,190423,183865
Missouri,St. Louis City,2014,Parts per billion,11.83,25.12,12,23.26,Parts per million,0.03,0.04,10,35.28,Parts per billion,2.13,6.39,10,5.27,Parts per million,0.25,0.4,8,1.87,5171,10,3,379858,193317,186541
Missouri,St. Louis City,2015,Parts per billion,13.11,24.33,11,22.54,Parts per million,0.02,0.03,9,27.4,Parts per billion,1.39,3.66,11,2.8,Parts per million,0.27,0.42,8,2.04,5052,10,3,385039,195852,189187
Missouri,St. Louis City,2016,Parts per billion,12.49,27.01,11,25.04,Parts per million,0.02,0.03,10,27.82,Parts per billion,1.12,2.08,11,1.35,Parts per million,0.32,0.47,9,2.38,4963,12,3.4,390599,198651,191948
New Jersey,Essex,2011,Parts per billion,21.04,38.58,13,36.55,Parts per million,0.02,0.03,10,31.17,Parts per billion,1.96,4.68,12,3.51,Parts per million,0.36,0.63,10,3.11,8866,18,3.3,785531,408207,377324
New Jersey,Essex,2012,Parts per billion,18.37,33.72,12,31.82,Parts per million,0.02,0.03,10,31.52,Parts per billion,1.14,2.69,12,1.84,Parts per million,0.33,0.56,9,2.75,8410,19,3.3,785137,408111,377026
New Jersey,Essex,2013,Parts per billion,18.17,33.34,11,31.52,Parts per million,0.02,0.03,10,29.32,Parts per billion,0.82,1.83,12,1.09,Parts per million,0.35,0.55,9,2.73,8144,25,4.2,786817,408845,377972
New Jersey,Essex,2014,Parts per billion,18.72,35.54,11,33.64,Parts per million,0.02,0.03,10,32.31,Parts per billion,0.82,1.8,11,1.11,Parts per million,0.33,0.55,9,2.67,7668,17,3.2,788975,409977,378998
New Jersey,Essex,2015,Parts per billion,16.53,31.11,12,29.36,Parts per million,0.02,0.03,10,33.34,Parts per billion,0.46,1.01,12,0.46,Parts per million,0.33,0.55,9,2.71,7211,17,3.2,790508,410487,380021
New Jersey,Camden,2012,Parts per billion,11.68,22.58,10,21.3,Parts per million,0.03,0.04,10,42.14,Parts per billion,1.25,2.65,7,2.12,Parts per million,0.21,0.36,6,1.68,8060,17,4.2,511769,264512,247257
New Jersey,Camden,2013,Parts per billion,12.37,23.84,10,22.46,Parts per million,0.03,0.04,10,30.91,Parts per billion,0.27,1.25,6,1.08,Parts per million,0.21,0.32,5,1.55,5895,12,3.4,510128,263701,246427
New Jersey,Camden,2014,Parts per billion,13.38,25.79,10,24.3,Parts per million,0.02,0.03,10,33.1,Parts per billion,0.36,1.36,6,1.17,Parts per million,0.22,0.35,6,1.71,7491,17,4.1,508554,262886,245668
New Jersey,Camden,2015,Parts per billion,13.5,26.69,10,25.18,Parts per million,0.03,0.04,10,38.77,Parts per billion,0.13,0.74,4,0.66,Parts per million,0.23,0.36,6,1.77,7654,17,4.1,507784,262628,245156
New York,Queens,2010,Parts per billion,19.29,35.55,11,33.68,Parts per million,0.02,0.03,10,30.71,Parts per billion,2.86,5.83,10,4.33,Parts per million,0.35,0.53,9,2.65,5239,21,3.2,2234745,1152926,1081819
New York,Queens,2011,Parts per billion,21.67,37.8,11,35.31,Parts per million,0.02,0.03,10,26.73,Parts per billion,3.35,7.12,10,5.33,Parts per million,0.27,0.46,9,2.26,5072,20,3.3,2255559,1163345,1092214
New York,Queens,2012,Parts per billion,17.57,32.45,11,30.25,Parts per million,0.03,0.04,9,33.09,Parts per billion,1.77,4.14,10,3.06,Parts per million,0.24,0.39,8,1.87,4882,19,3.1,2272745,1172192,1100553
New York,Queens,2013,Parts per billion,17.56,32.04,11,29.83,Parts per million,0.03,0.04,10,34.37,Parts per billion,1.21,2.66,10,1.76,Parts per million,0.22,0.35,9,1.68,4491,7,2.6,2288194,1179342,1108852
New York,Queens,2014,Parts per billion,16.83,30.99,11,28.83,Parts per million,0.02,0.03,10,31.53,Parts per billion,1.1,2.31,10,1.48,Parts per million,0.24,0.38,9,1.8,4822,18,3.3,2300148,1185359,1114789
New York,Queens,2015,Parts per billion,17.23,32.46,11,30.23,Parts per million,0.02,0.03,10,34.17,Parts per billion,0.74,1.58,10,0.93,Parts per million,0.25,0.4,8,1.95,4616,18,3.3,2307614,1188586,1119028
New York,Queens,2016,Parts per billion,17.87,33.31,11,31.07,Parts per million,0.02,0.03,10,30.03,Parts per billion,0.84,1.9,10,1.13,Parts per million,0.26,0.4,9,1.91,4523,18,3.6,2309032,1189127,1119905
New York,Bronx,2010,Parts per billion,20.12,35.09,12,33.2,Parts per million,0.02,0.03,10,30.52,Parts per billion,4.82,9.48,11,7.18,Parts per million,0.55,0.76,9,3.96,8426,27,4.4,1387353,736445,650908
New York,Bronx,2011,Parts per billion,20.87,36.09,12,33.65,Parts per million,0.02,0.03,9,28.84,Parts per billion,4.64,9.49,11,7.11,Parts per million,0.46,0.7,8,3.58,8139,26,4.5,1397366,741267,656099
New York,Bronx,2012,Parts per billion,18.62,32.84,13,30.64,Parts per million,0.02,0.03,9,31.03,Parts per billion,3.26,6.81,11,5.09,Parts per million,0.45,0.64,8,3.34,7987,25,4.5,1411715,748727,662988
New York,Bronx,2013,Parts per billion,18.28,32.61,12,30.35,Parts per million,0.02,0.03,10,29.47,Parts per billion,2.4,4.71,11,3.41,Parts per million,0.39,0.57,8,2.95,5486,14,3.6,1422340,753360,668980
New York,Bronx,2014,Parts per billion,17.01,30.9,12,28.72,Parts per million,0.02,0.03,9,32.98,Parts per billion,1.77,3.36,11,2.3,Parts per million,0.31,0.53,9,2.56,7481,24,4.1,1431538,758095,673443
New York,Bronx,2015,Parts per billion,17.11,31.62,12,29.38,Parts per million,0.02,0.03,10,33.51,Parts per billion,1.27,2.42,11,1.56,Parts per million,0.28,0.48,8,2.32,7050,24,4.1,1440726,762561,678165
New York,Bronx,2016,Parts per billion,17.82,32.99,11,30.75,Parts per million,0.02,0.03,10,29.19,Parts per billion,1.26,2.44,10,1.55,Parts per million,0.33,0.48,8,2.42,6929,29,5,1445237,764407,680830
New York,Monroe,2011,Parts per billion,8.42,17.84,12,16.42,Parts per million,0.03,0.04,10,30.47,Parts per billion,1.1,3.44,12,2.69,Parts per million,0.18,0.28,10,1.33,5431,13,3.4,72879,37093,35786
New York,Steuben,2010,Parts per billion,0.83,2.18,10,1.78,Parts per million,0.03,0.04,10,34.95,Parts per billion,0.54,1.58,9,0.96,Parts per million,0.14,0.16,7,0.79,7219,15,3.9,111811,55074,56737
New York,Steuben,2011,Parts per billion,2.24,4.53,12,3.98,Parts per million,0.03,0.04,10,34.47,Parts per billion,0.7,1.65,10,0.99,Parts per million,0.16,0.18,7,0.87,7480,16,4.2,112268,55248,57020
New York,Suffolk,2010,Parts per billion,7.05,17.89,10,16.88,Parts per million,0.03,0.05,9,47.3,Parts per billion,3.27,4.27,7,3.22,Parts per million,0.09,0.19,5,0.79,7219,15,3.9,111811,55074,56737
North Carolina,Wake,2014,Parts per billion,5.99,15.09,14,13.8,Parts per million,0.03,0.04,9,36.97,Parts per billion,0.35,0.89,9,0.44,Parts per million,0.26,0.42,9,2.08,4954,11,2.8,997789,513372,484417
North Carolina,Wake,2015,Parts per billion,5.71,14.42,13,13.18,Parts per million,0.03,0.04,9,37.01,Parts per billion,0.31,0.77,9,0.36,Parts per million,0.27,0.44,10,2.1,4775,11,2.8,1022431,525739,496692
North Carolina,Wake,2016,Parts per billion,6.79,18.63,12,17.19,Parts per million,0.03,0.04,10,34.66,Parts per billion,0.33,0.78,11,0.3,Parts per million,0.25,0.43,9,2.1,4703,14,3.2,1048381,538799,509582
North Carolina,Mecklenburg,2010,Parts per billion,11.69,25.41,12,23.96,Parts per million,0.03,0.04,10,41.1,Parts per billion,0.9,2.61,10,1.88,Parts per million,0.33,0.55,8,2.72,8163,25,4.9,45098,22520,22578
North Carolina,Mecklenburg,2011,Parts per billion,10,22.2,12,20.95,Parts per million,0.03,0.04,9,42.1,Parts per billion,0.57,1.78,10,1.13,Parts per million,0.34,0.52,8,2.67,8561,24,5,45051,22544,22507
North Carolina,Mecklenburg,2012,Parts per billion,8.67,19.64,12,18.52,Parts per million,0.03,0.04,9,39.5,Parts per billion,0.23,0.82,10,0.4,Parts per million,0.28,0.45,8,2.19,8781,22,4.9,45003,22473,22530
North Carolina,Mecklenburg,2013,Parts per billion,8.48,18.84,12,17.76,Parts per million,0.03,0.04,9,36.8,Parts per billion,0.25,0.81,10,0.36,Parts per million,0.29,0.45,8,2.25,7758,20,4.2,45031,22497,22534
North Carolina,Mecklenburg,2014,Parts per billion,9.06,20.08,12,18.82,Parts per million,0.03,0.04,9,37.75,Parts per billion,0.32,0.92,10,0.45,Parts per million,0.27,0.45,9,2.16,7946,29,6.2,45018,22462,22556
North Carolina,Mecklenburg,2015,Parts per billion,8.21,18.86,13,17.35,Parts per million,0.03,0.04,9,40.42,Parts per billion,0.23,0.7,9,0.3,Parts per million,0.25,0.42,9,2.01,7834,29,6.2,44976,22499,22477
North Carolina,Mecklenburg,2016,Parts per billion,7.9,18.51,11,16.96,Parts per million,0.03,0.04,9,39.62,Parts per billion,0.17,0.6,10,0.24,Parts per million,0.24,0.38,8,1.78,8042,19,4.2,44882,22505,22377
Oklahoma,Adair,2010,Parts per billion,3.38,5.86,12,5.28,Parts per million,0.03,0.04,9,37.22,Parts per billion,0.96,1.77,12,1.05,Parts per million,0.16,0.2,7,0.96,12657,24,5.5,22738,11355,11383
Oklahoma,Adair,2011,Parts per billion,3.95,6.53,11,5.83,Parts per million,0.04,0.05,10,44.09,Parts per billion,1.19,1.97,11,1.15,Parts per million,0.17,0.22,7,1.02,11440,23,5.1,22560,11279,11281
Oklahoma,Adair,2012,Parts per billion,3.49,6.67,12,5.99,Parts per million,0.04,0.05,10,42.96,Parts per billion,0.51,1.21,12,0.63,Parts per million,0.17,0.22,8,1.05,10459,25,4.2,22312,11164,11148
Oklahoma,Adair,2013,Parts per billion,3.66,4.9,18,4.5,Parts per million,0.02,0.03,13,25.5,Parts per billion,0.01,0.22,3,0,Parts per million,0.2,0.27,12,1.25,9291,19,4.2,22308,11162,11146
Oklahoma,Oklahoma,2011,Parts per billion,6.4,14.94,10,14.07,Parts per million,0.04,0.05,10,49.73,Parts per billion,0.63,1.2,6,0.87,Parts per million,0.22,0.31,5,1.55,11955,27,3.9,12327,5729,6598
Oklahoma,Oklahoma,2012,Parts per billion,5.39,14.85,10,14.04,Parts per million,0.03,0.05,10,44.25,Parts per billion,0.23,0.67,4,0.5,Parts per million,0.13,0.23,5,1.02,11800,25,4.1,12333,5737,6596
Oklahoma,Oklahoma,2013,Parts per billion,5.66,14.31,11,13.53,Parts per million,0.03,0.04,10,43.15,Parts per billion,0.22,0.52,4,0.37,Parts per million,0.14,0.23,5,1.03,8747,21,4.2,12296,5720,6576
Oklahoma,Oklahoma,2014,Parts per billion,5,13.3,10,12.58,Parts per million,0.03,0.04,10,41.47,Parts per billion,0.08,0.43,4,0.31,Parts per million,0.15,0.24,6,1.09,13077,21,4.2,12170,5646,6524
Oklahoma,Oklahoma,2015,Parts per billion,6.99,17.87,11,16.89,Parts per million,0.03,0.04,10,34.01,Parts per billion,0.22,0.65,6,0.46,Parts per million,0.21,0.34,7,1.66,12815,21,4.2,12116,5623,6493
Oklahoma,Tulsa,2010,Parts per billion,8.55,19.62,13,18.47,Parts per million,0.03,0.04,10,34.47,Parts per billion,0.68,2.42,11,1.73,Parts per million,0.26,0.5,9,2.41,7225,17,2.9,20813,9969,10844
Oklahoma,Tulsa,2011,Parts per billion,8.94,20.56,13,18.95,Parts per million,0.03,0.05,10,42.62,Parts per billion,0.82,2.89,11,2.14,Parts per million,0.28,0.51,9,2.4,6960,16,2.8,21245,10117,11128
Oklahoma,Tulsa,2012,Parts per billion,9,21.28,13,19.64,Parts per million,0.03,0.04,9,39.91,Parts per billion,0.68,2.03,11,1.39,Parts per million,0.21,0.44,10,2.02,7357,14,2.8,21556,10202,11354
Oklahoma,Tulsa,2013,Parts per billion,7.86,18.46,13,16.99,Parts per million,0.03,0.04,10,39.51,Parts per billion,0.48,1.44,10,0.89,Parts per million,0.21,0.41,9,1.89,10708,18,3.5,22022,10313,11709
Oklahoma,Tulsa,2014,Parts per billion,7.23,17.39,12,15.99,Parts per million,0.03,0.04,9,36.28,Parts per billion,0.28,0.89,11,0.45,Parts per million,0.17,0.34,9,1.56,8393,13,2.5,21733,10123,11610
Oklahoma,Tulsa,2015,Parts per billion,8.02,19.26,13,17.76,Parts per million,0.03,0.04,9,38.02,Parts per billion,0.82,1.48,11,0.79,Parts per million,0.25,0.44,9,2.13,7430,13,2.5,21439,9947,11492
Oklahoma,Tulsa,2016,Parts per billion,8.13,20.52,13,18.93,Parts per million,0.03,0.04,10,35.78,Parts per billion,1.49,2.15,11,1.27,Parts per million,0.28,0.53,10,2.53,7391,25,4.4,21121,9752,11369
Pennsylvania,Philadelphia,2010,Parts per billion,17.72,31.32,12,29.16,Parts per million,0.02,0.03,10,28.26,Parts per billion,2.24,4.27,11,3.09,Parts per million,0.3,0.49,8,2.42,7285,12,4.4,45928,22892,23036
Pennsylvania,Philadelphia,2011,Parts per billion,20.26,34.72,11,32.51,Parts per million,0.02,0.03,10,26.56,Parts per billion,1.81,3.09,11,2.05,Parts per million,0.28,0.47,8,2.38,6649,12,4.1,45924,22896,23028
Pennsylvania,Philadelphia,2012,Parts per billion,17.91,30.3,11,28.16,Parts per million,0.02,0.03,10,23.6,Parts per billion,1.02,1.73,10,0.98,Parts per million,0.28,0.46,8,2.29,7214,14,4.4,45811,22847,22964
Pennsylvania,Philadelphia,2013,Parts per billion,16.36,28.12,11,26.07,Parts per million,0.02,0.03,10,24.11,Parts per billion,1.19,1.86,10,1.06,Parts per million,0.27,0.42,7,2.11,6582,19,3.6,45653,22711,22942
Pennsylvania,Philadelphia,2014,Parts per billion,18.69,33.75,11,31.48,Parts per million,0.02,0.03,10,30.61,Parts per billion,2.4,3.47,11,2.32,Parts per million,0.31,0.47,8,2.38,7630,12,4.4,45664,22691,22973
Pennsylvania,Berks,2010,Parts per billion,7.35,16.93,11,15.93,Parts per million,0.03,0.05,10,45.65,Parts per billion,3.1,6.09,9,4.98,Parts per million,0.07,0.13,4,0.59,7255,17,3.7,170646,88290,82356
Pennsylvania,Berks,2011,Parts per billion,8.23,17.4,10,16.4,Parts per million,0.02,0.04,10,34.59,Parts per billion,1.47,3.47,8,2.89,Parts per million,0.04,0.09,3,0.4,7650,17,3.8,170307,88014,82293
Pennsylvania,Berks,2012,Parts per billion,9.58,20.08,12,18.93,Parts per million,0.02,0.03,10,27.88,Parts per billion,0.76,1.58,7,1.24,Parts per million,0.05,0.1,3,0.45,7496,17,3.7,170065,87828,82237
Pennsylvania,Berks,2013,Parts per billion,7.8,16.62,10,15.65,Parts per million,0.02,0.04,10,32.75,Parts per billion,1.25,2.52,8,2.01,Parts per million,0.02,0.04,2,0.18,7191,14,3.2,169743,87604,82139
